seed,reward_eg3d
0,0.27688726782798767
1,5.691648483276367
100000,11.489791870117188
100001,15.258026123046875
100002,12.85312271118164
100003,14.570320129394531
100004,16.61960220336914
100005,15.722744941711426
100006,13.903585433959961
100007,13.64976978302002
100008,15.152103424072266
100009,14.139768600463867
100010,15.9861421585083
100011,14.382537841796875
100012,15.567682266235352
100013,14.708677291870117
100014,15.201895713806152
100015,17.041027069091797
100016,16.99335479736328
100017,16.791488647460938
100018,16.283367156982422
100019,15.726846694946289
100020,15.210537910461426
100021,11.858476638793945
100022,12.33950138092041
100023,13.806507110595703
100024,14.353673934936523
100025,15.264993667602539
100026,14.892993927001953
100027,16.102867126464844
100028,15.297281265258789
100029,16.745452880859375
100030,14.767692565917969
100031,13.532779693603516
100032,14.531906127929688
100033,15.741153717041016
100034,14.036958694458008
100035,12.86065673828125
100036,17.176876068115234
100037,9.997615814208984
100038,15.60636043548584
100039,14.026785850524902
100040,15.65339469909668
100041,17.158740997314453
100042,12.973819732666016
100043,14.228240966796875
100044,14.992919921875
100045,11.087408065795898
100046,15.096572875976562
100047,11.886531829833984
100048,14.910459518432617
100049,15.267618179321289
100050,14.805931091308594
100051,16.947214126586914
100052,12.917642593383789
100053,12.577962875366211
100054,16.09905242919922
100055,15.394665718078613
100056,16.231658935546875
100057,15.672640800476074
100058,15.741426467895508
100059,16.242509841918945
100060,16.30754852294922
100061,15.696691513061523
100062,12.432333946228027
100063,16.422683715820312
100064,13.64507007598877
100065,15.065051078796387
100066,13.011849403381348
100067,15.204605102539062
100068,12.409868240356445
100069,10.728987693786621
100070,15.47907543182373
100071,15.76567554473877
100072,13.921061515808105
100073,14.643436431884766
100074,15.747236251831055
100075,15.166983604431152
100076,15.48499584197998
100077,16.298133850097656
100078,13.588589668273926
100079,14.431293487548828
100080,15.429637908935547
100081,14.930410385131836
100082,14.050946235656738
100083,13.127116203308105
100084,16.34099006652832
100085,16.725502014160156
100086,15.22856616973877
100087,15.133686065673828
100088,14.88152027130127
100089,14.185098648071289
100090,16.61500358581543
100091,15.006306648254395
100092,14.788646697998047
100093,14.264961242675781
100094,15.19364070892334
100095,16.130325317382812
100096,14.481834411621094
100097,14.68476390838623
