seed,reward_eg3d
0,0.9917957186698914
1,6.45465612411499
100000,9.515382766723633
100001,12.762402534484863
100002,9.652603149414062
100003,11.49653434753418
100004,13.9583158493042
100005,11.685237884521484
100006,11.435667037963867
100007,10.912598609924316
100008,11.063291549682617
100009,12.3239107131958
100010,13.138818740844727
100011,11.516361236572266
100012,12.40721607208252
100013,11.02154541015625
100014,12.088123321533203
100015,13.605780601501465
100016,12.348921775817871
100017,13.394295692443848
100018,13.184114456176758
100019,13.54025650024414
100020,12.080283164978027
100021,9.703508377075195
100022,10.292747497558594
100023,10.820707321166992
100024,10.907556533813477
100025,11.568557739257812
100026,12.02048110961914
100027,13.862942695617676
100028,11.461074829101562
100029,13.272658348083496
100030,12.484130859375
100031,12.44282341003418
100032,12.727174758911133
100033,12.002199172973633
100034,11.641400337219238
100035,10.741086959838867
100036,13.845731735229492
100037,8.07058048248291
100038,12.538640975952148
100039,10.866623878479004
100040,11.083684921264648
100041,12.548027038574219
100042,10.09855842590332
100043,10.664780616760254
100044,11.715885162353516
100045,9.095185279846191
100046,11.690839767456055
100047,9.888745307922363
100048,11.728536605834961
100049,12.450647354125977
100050,11.186450958251953
100051,13.566573143005371
100052,9.845478057861328
100053,8.705873489379883
100054,11.773796081542969
100055,12.504789352416992
100056,13.075897216796875
100057,11.731426239013672
100058,13.254449844360352
100059,14.03989315032959
100060,13.736991882324219
100061,12.057278633117676
100062,10.396180152893066
100063,12.470622062683105
100064,10.205976486206055
100065,12.385287284851074
100066,10.557165145874023
100067,11.657208442687988
100068,9.738558769226074
100069,8.58095932006836
100070,12.939315795898438
100071,12.499558448791504
100072,11.460187911987305
100073,12.56143569946289
100074,11.94766902923584
100075,11.808781623840332
100076,11.977029800415039
100077,11.511604309082031
100078,11.848002433776855
100079,11.480025291442871
100080,13.727743148803711
100081,10.884446144104004
100082,10.850813865661621
100083,9.561059951782227
100084,13.73171615600586
100085,13.540483474731445
100086,11.383222579956055
100087,12.25510311126709
100088,11.142894744873047
100089,10.780780792236328
100090,13.057808876037598
100091,11.878334045410156
100092,10.580890655517578
100093,10.414003372192383
100094,12.52847671508789
100095,12.290397644042969
100096,10.701864242553711
100097,11.619916915893555
